Parameters: 336090
Epoch	Loss(Tr)	Loss(val)	mIOU (tr)	mIOU (val	
0		1.6171		1.0829		0.2154		0.1449		0.0005000
1		1.4773		1.0666		0.2241		0.1449		0.0004985
2		1.3476		1.0512		0.2399		0.1449		0.0004970
3		1.2973		1.0367		0.2441		0.1449		0.0004955
4		1.2750		1.0180		0.2304		0.1449		0.0004940
5		1.2037		0.9928		0.2525		0.1947		0.0004925
6		1.1482		0.9503		0.2514		0.3012		0.0004910
7		1.1038		0.8947		0.3110		0.2902		0.0004895
8		1.1104		0.8595		0.2853		0.2755		0.0004880
9		1.0633		0.8374		0.3190		0.2760		0.0004865
10		1.0644		0.8217		0.3122		0.3002		0.0004850
11		1.1008		0.8139		0.2970		0.2941		0.0004835
12		0.9945		0.7943		0.3567		0.3000		0.0004820
13		0.9381		0.7921		0.3557		0.3104		0.0004805
14		0.9240		0.7730		0.3527		0.3008		0.0004790
15		0.9515		0.7339		0.3887		0.3433		0.0004774
16		0.9008		0.7294		0.3906		0.3402		0.0004759
17		0.8686		0.7023		0.4180		0.3658		0.0004744
18		0.8315		0.6946		0.4576		0.3531		0.0004729
19		0.9170		0.7058		0.3835		0.3576		0.0004714
20		0.8487		0.6543		0.4477		0.3786		0.0004699
21		0.8361		0.6562		0.4401		0.3715		0.0004684
22		0.8199		0.6277		0.4540		0.3797		0.0004669
23		0.7445		0.6174		0.4782		0.3836		0.0004654
24		0.7538		0.6170		0.5173		0.3865		0.0004639
25		0.7225		0.5635		0.4821		0.3970		0.0004623
26		0.6706		0.5690		0.5189		0.3905		0.0004608
27		0.7158		0.5508		0.5221		0.4034		0.0004593
28		0.6737		0.5547		0.5122		0.3929		0.0004578
29		0.7100		0.5304		0.5166		0.4102		0.0004563
30		0.6503		0.5209		0.5352		0.4192		0.0004548
31		0.6253		0.4910		0.5510		0.4240		0.0004532
32		0.6588		0.4826		0.5203		0.4298		0.0004517
33		0.5667		0.4898		0.5898		0.4371		0.0004502
34		0.5627		0.4707		0.6021		0.4345		0.0004487
35		0.6157		0.4811		0.5773		0.4444		0.0004472
36		0.5288		0.4808		0.6027		0.4405		0.0004457
37		0.5594		0.4387		0.6069		0.4626		0.0004441
38		0.5445		0.4383		0.5945		0.4510		0.0004426
39		0.4675		0.4381		0.6354		0.4652		0.0004411
40		0.4965		0.4131		0.6052		0.4678		0.0004396
41		0.4755		0.4230		0.6220		0.4638		0.0004381
42		0.4924		0.3982		0.6235		0.4785		0.0004365
43		0.4847		0.3910		0.6316		0.4781		0.0004350
44		0.4648		0.3993		0.6287		0.4666		0.0004335
45		0.4527		0.3843		0.6446		0.4857		0.0004320
46		0.4232		0.3867		0.6421		0.4786		0.0004304
47		0.4605		0.3932		0.6383		0.4850		0.0004289
48		0.4455		0.3735		0.6544		0.4846		0.0004274
49		0.4058		0.3750		0.6498		0.4839		0.0004259
50		0.3948		0.3562		0.6458		0.4864		0.0004243
51		0.4031		0.3445		0.6533		0.4991		0.0004228
52		0.5436		0.3442		0.6131		0.5029		0.0004213
53		0.7392		0.4651		0.5808		0.4261		0.0004197
54		0.4251		0.3333		0.6469		0.4966		0.0004182
55		0.3989		0.3656		0.6691		0.4853		0.0004167
56		0.3870		0.3052		0.6634		0.5086		0.0004152
57		0.3840		0.3003		0.6626		0.5050		0.0004136
58		0.5013		0.3285		0.6162		0.5026		0.0004121
59		0.3769		0.3309		0.6629		0.4978		0.0004106
60		0.4964		0.3226		0.6062		0.4913		0.0004090
61		0.3799		0.3118		0.6580		0.4965		0.0004075
62		0.3572		0.2806		0.6837		0.5200		0.0004060
63		0.3920		0.2929		0.6445		0.5069		0.0004044
64		0.3356		0.2909		0.6711		0.5193		0.0004029
65		0.3674		0.3201		0.6442		0.5056		0.0004014
66		0.3381		0.2717		0.6796		0.5147		0.0003998
67		0.3499		0.2742		0.6832		0.5215		0.0003983
68		0.3607		0.2935		0.6645		0.5130		0.0003967
69		0.3257		0.2873		0.6775		0.5162		0.0003952
70		0.3470		0.2993		0.6489		0.5019		0.0003937
71		0.3269		0.3110		0.6842		0.5006		0.0003921
72		0.3493		0.2897		0.6781		0.5066		0.0003906
73		0.3466		0.2668		0.6734		0.5228		0.0003890
74		0.3006		0.2718		0.6919		0.5181		0.0003875
75		0.2892		0.2880		0.6816		0.5088		0.0003859
76		0.3187		0.2662		0.6855		0.5272		0.0003844
77		0.2750		0.2459		0.6989		0.5331		0.0003829
78		0.3219		0.2618		0.6853		0.5254		0.0003813
79		0.2970		0.2663		0.6929		0.5198		0.0003798
80		0.2893		0.2368		0.6857		0.5382		0.0003782
81		0.2601		0.2362		0.6980		0.5377		0.0003767
82		0.2776		0.2294		0.6654		0.5408		0.0003751
83		0.2624		0.2416		0.6891		0.5295		0.0003736
84		0.2791		0.2481		0.6882		0.5324		0.0003720
85		0.2618		0.2408		0.6883		0.5402		0.0003705
86		0.2647		0.2563		0.6901		0.5335		0.0003689
87		0.2804		0.2412		0.6843		0.5390		0.0003674
88		0.2930		0.2262		0.6531		0.5472		0.0003658
89		0.2745		0.2624		0.6794		0.5193		0.0003643
90		0.2888		0.2397		0.6867		0.5370		0.0003627
91		0.2667		0.2432		0.6941		0.5354		0.0003612
92		0.2508		0.2494		0.6984		0.5221		0.0003596
93		0.2408		0.2165		0.6907		0.5510		0.0003580
94		0.2636		0.2395		0.7005		0.5388		0.0003565
95		0.3305		0.2655		0.6742		0.5276		0.0003549
96		0.3185		0.2161		0.6856		0.5469		0.0003534
97		0.2391		0.2106		0.6989		0.5423		0.0003518
98		0.2483		0.2364		0.6969		0.5374		0.0003502
99		0.3393		0.2178		0.6832		0.5457		0.0003487
